ActivoA,ActivoB,Algoritmo,Complejidad,Valor
TSLA,JPM,Correlacion de Pearson,O(n),0,327553
TSLA,JPM,Dynamic Time Warping (DTW),O(n*m),25,189771
TSLA,JPM,Similitud por Coseno,O(n),0,328400
TSLA,JNJ,Distancia Euclidiana,O(n),1,376034
TSLA,JNJ,Correlacion de Pearson,O(n),-0,025464
TSLA,JNJ,Dynamic Time Warping (DTW),O(n*m),26,559677
TSLA,JNJ,Similitud por Coseno,O(n),-0,024603
TSLA,V,Distancia Euclidiana,O(n),1,255343
TSLA,V,Correlacion de Pearson,O(n),0,307533
TSLA,V,Dynamic Time Warping (DTW),O(n*m),25,341738
TSLA,V,Similitud por Coseno,O(n),0,308100
TSLA,PG,Distancia Euclidiana,O(n),1,359738
TSLA,PG,Correlacion de Pearson,O(n),0,034355
TSLA,PG,Dynamic Time Warping (DTW),O(n*m),26,220150
TSLA,PG,Similitud por Coseno,O(n),0,034665
TSLA,UNH,Distancia Euclidiana,O(n),1,441443
TSLA,UNH,Correlacion de Pearson,O(n),0,081784
TSLA,UNH,Dynamic Time Warping (DTW),O(n*m),25,494326
TSLA,UNH,Similitud por Coseno,O(n),0,081931
TSLA,HD,Distancia Euclidiana,O(n),1,275622
TSLA,HD,Correlacion de Pearson,O(n),0,276644
TSLA,HD,Dynamic Time Warping (DTW),O(n*m),24,825072
TSLA,HD,Similitud por Coseno,O(n),0,276647
TSLA,MA,Distancia Euclidiana,O(n),1,263246
TSLA,MA,Correlacion de Pearson,O(n),0,297786
TSLA,MA,Dynamic Time Warping (DTW),O(n*m),25,237753
TSLA,MA,Similitud por Coseno,O(n),0,298296
TSLA,DIS,Distancia Euclidiana,O(n),1,237973
TSLA,DIS,Correlacion de Pearson,O(n),0,362828
TSLA,DIS,Dynamic Time Warping (DTW),O(n*m),24,753921
TSLA,DIS,Similitud por Coseno,O(n),0,362117
TSLA,PYPL,Distancia Euclidiana,O(n),1,280931
TSLA,PYPL,Correlacion de Pearson,O(n),0,393939
TSLA,PYPL,Dynamic Time Warping (DTW),O(n*m),24,316789
TSLA,PYPL,Similitud por Coseno,O(n),0,392474
TSLA,ADBE,Distancia Euclidiana,O(n),1,294542
TSLA,ADBE,Correlacion de Pearson,O(n),0,330567
TSLA,ADBE,Dynamic Time Warping (DTW),O(n*m),24,588335
TSLA,ADBE,Similitud por Coseno,O(n),0,330042
TSLA,NFLX,Distancia Euclidiana,O(n),1,345461
TSLA,NFLX,Correlacion de Pearson,O(n),0,332799
TSLA,NFLX,Dynamic Time Warping (DTW),O(n*m),24,878739
TSLA,NFLX,Similitud por Coseno,O(n),0,333450
TSLA,INTC,Distancia Euclidiana,O(n),1,462430
TSLA,INTC,Correlacion de Pearson,O(n),0,288911
TSLA,INTC,Dynamic Time Warping (DTW),O(n*m),25,713167
TSLA,INTC,Similitud por Coseno,O(n),0,289538
TSLA,CSCO,Distancia Euclidiana,O(n),1,283265
TSLA,CSCO,Correlacion de Pearson,O(n),0,259071
TSLA,CSCO,Dynamic Time Warping (DTW),O(n*m),25,434220
TSLA,CSCO,Similitud por Coseno,O(n),0,259953
JPM,JNJ,Distancia Euclidiana,O(n),0,601991
JPM,JNJ,Correlacion de Pearson,O(n),0,182165
JPM,JNJ,Dynamic Time Warping (DTW),O(n*m),9,875265
JPM,JNJ,Similitud por Coseno,O(n),0,183097
JPM,V,Distancia Euclidiana,O(n),0,534934
JPM,V,Correlacion de Pearson,O(n),0,485352
JPM,V,Dynamic Time Warping (DTW),O(n*m),9,787621
JPM,V,Similitud por Coseno,O(n),0,485880
JPM,PG,Distancia Euclidiana,O(n),0,614632
JPM,PG,Correlacion de Pearson,O(n),0,173788
